order_id,item_id,shipper_id,sku_id,quantity_ordered,date
ORD10705441,1,3,70132,6,2024-07-29
ORD1290203,1,3,70132,5,2024-05-23
ORD14786910,1,5,70132,7,2024-05-27
ORD1579996,1,4,70132,2,2024-06-04
ORD1579996,2,1,70133,4,2024-08-20
ORD1628107,1,5,70132,10,2024-02-28
ORD1628107,2,5,70133,6,2024-03-30
ORD16484312,1,2,70132,8,2024-03-19
ORD16637794,1,5,70132,2,2024-09-20
ORD16777892,1,1,70132,6,2025-01-15
ORD17836397,1,3,70132,3,2024-01-11
ORD17836397,2,4,70133,3,2024-12-19
ORD17836397,3,5,70134,2,2024-11-27
ORD17880469,1,4,70132,2,2025-01-19
ORD17880469,2,2,70133,7,2025-01-09
ORD18049344,1,1,70132,3,2024-10-29
ORD18208027,1,3,70132,10,2024-03-29
ORD18208027,2,3,70133,2,2024-03-04
ORD18266981,1,5,70132,10,2024-03-14
ORD18395060,1,2,70132,10,2024-12-23
ORD18466047,1,4,70132,9,2024-05-10
ORD18466047,2,3,70133,5,2024-01-24
ORD18466047,3,2,70134,7,2024-10-28
ORD18471423,1,4,70132,6,2024-03-24
ORD18472396,1,1,70132,3,2024-04-04
ORD18472396,2,4,70133,2,2024-04-29
ORD18555654,1,2,70132,10,2024-11-29
ORD18555654,2,1,70133,2,2024-04-03
ORD18555654,3,4,70134,8,2024-01-10
ORD18555654,4,4,70135,2,2024-05-25
ORD18555654,5,3,70136,3,2024-10-31
ORD18555654,6,3,70137,9,2025-01-16
ORD18624499,1,4,70132,4,2025-01-28
ORD18818630,1,3,70132,2,2024-06-22
ORD18921964,1,4,70132,10,2024-10-11
ORD18923329,1,2,70132,9,2025-01-16
ORD18923329,2,1,70133,10,2024-03-24
ORD18923329,3,3,70134,5,2024-06-08
ORD18923329,4,4,70135,8,2024-06-23
ORD18923329,5,5,70136,1,2024-05-03
ORD18923329,6,2,70137,9,2024-11-29
ORD18923329,7,1,70138,2,2024-07-13
ORD18923329,8,5,70139,8,2024-06-09
ORD19060452,1,3,70132,5,2024-01-17
ORD19286335,1,5,70132,7,2024-11-04
ORD19286335,2,3,70133,8,2024-03-01
ORD19354585,1,1,70132,10,2024-02-24
ORD19354585,2,1,70133,8,2024-02-03
ORD19354585,3,3,70134,5,2023-12-29
ORD19354585,4,2,70135,6,2024-08-10
ORD19354585,5,4,70136,1,2024-08-09
ORD19354585,6,2,70137,2,2024-12-16
ORD19354585,7,5,70138,6,2024-05-29
ORD19478968,1,4,70132,10,2024-06-08
ORD19478968,2,2,70133,2,2024-06-22
ORD19478968,3,4,70134,10,2024-12-01
ORD19478968,4,3,70135,8,2024-03-08
ORD19478968,5,2,70136,5,2024-05-22
ORD19577626,1,2,70132,2,2024-04-03
ORD19804643,1,3,70132,3,2024-11-03
ORD19812399,1,3,70132,4,2024-03-01
ORD19813400,1,2,70132,8,2024-09-13
ORD19813400,2,5,70133,9,2024-02-14
ORD19967316,1,2,70132,1,2025-01-02
ORD20059219,1,3,70132,4,2024-12-06
ORD20063930,1,1,70132,1,2024-08-01
ORD20181418,1,5,70132,9,2024-06-07
ORD20378440,1,4,70132,10,2024-03-09
ORD20417325,1,2,70132,3,2024-09-18
ORD20417353,1,4,70132,4,2024-02-08
ORD20417353,2,5,70133,8,2024-07-16
ORD20417353,3,1,70134,2,2024-11-09
ORD20417353,4,3,70135,1,2024-03-20
ORD20417353,5,1,70136,6,2024-05-29
ORD20417766,1,5,70132,5,2024-07-26
ORD20419124,1,4,70132,7,2024-10-03
ORD20427986,1,1,70132,2,2024-10-21
ORD20429596,1,2,70132,2,2024-11-25
ORD20460802,1,4,70132,1,2024-01-30
ORD20480185,1,1,70132,1,2024-04-03
ORD20480185,2,5,70133,9,2024-04-05
ORD20515122,1,1,70132,4,2024-03-03
ORD20515122,2,3,70133,8,2024-11-18
ORD20559803,1,5,70132,7,2024-02-07
ORD20596518,1,3,70132,7,2024-02-03
ORD20610784,1,3,70132,4,2024-07-15
ORD20667960,1,1,70132,9,2024-12-25
ORD20667960,2,2,70133,3,2023-12-29
ORD20667960,3,5,70134,8,2024-07-20
ORD20785553,1,4,70132,2,2025-01-25
ORD20864849,1,3,70132,7,2023-12-28
ORD20925448,1,1,70132,7,2024-03-23
ORD20977836,1,2,70132,8,2024-02-05
ORD2101720,1,4,70132,5,2024-02-13
ORD21046128,1,3,70132,8,2024-01-03
ORD21076914,1,2,70132,7,2024-08-20
ORD21202865,1,1,70132,8,2024-02-26
ORD21282714,1,3,70132,1,2024-09-20
ORD21282714,2,5,70133,10,2024-09-12
ORD21282714,3,5,70134,6,2024-10-02
ORD21282714,4,1,70135,1,2024-01-04
ORD21321249,1,4,70132,6,2025-01-02
ORD21351398,1,4,70132,5,2024-02-26
ORD21385390,1,4,70132,3,2024-10-25
ORD21428454,1,1,70132,5,2024-09-30
ORD21428454,2,2,70133,10,2024-10-08
ORD21428454,3,4,70134,1,2024-07-18
ORD21428454,4,3,70135,2,2024-03-09
